statecode,countycode,state,county,year,laborforce,employed,unemployed,rate
1,1,AL,Autauga,2017,25909,24908,1001,3.9
1,3,AL,Baldwin,2017,91567,87915,3652,4
1,5,AL,Barbour,2017,8236,7750,486,5.9
1,7,AL,Bibb,2017,8506,8133,373,4.4
1,9,AL,Blount,2017,24494,23509,985,4
1,11,AL,Bullock,2017,4812,4575,237,4.9
1,13,AL,Butler,2017,8946,8455,491,5.5
1,15,AL,Calhoun,2017,45582,43333,2249,4.9
1,17,AL,Chambers,2017,15176,14557,619,4.1
1,19,AL,Cherokee,2017,11174,10721,453,4.1
1,21,AL,Chilton,2017,19118,18344,774,4
1,23,AL,Choctaw,2017,4336,4059,277,6.4
1,25,AL,Clarke,2017,7720,7065,655,8.5
1,27,AL,Clay,2017,5721,5471,250,4.4
1,29,AL,Cleburne,2017,5742,5486,256,4.5
1,31,AL,Coffee,2017,20671,19764,907,4.4
1,33,AL,Colbert,2017,23092,21889,1203,5.2
1,35,AL,Conecuh,2017,4446,4173,273,6.1
1,37,AL,Coosa,2017,4348,4147,201,4.6
1,39,AL,Covington,2017,15646,14826,820,5.2
1,41,AL,Crenshaw,2017,6417,6130,287,4.5
1,43,AL,Cullman,2017,37637,36239,1398,3.7
1,45,AL,Dale,2017,19868,18987,881,4.4
1,47,AL,Dallas,2017,14935,13811,1124,7.5
1,49,AL,DeKalb,2017,29038,27734,1304,4.5
1,51,AL,Elmore,2017,37236,35880,1356,3.6
1,53,AL,Escambia,2017,14352,13630,722,5
1,55,AL,Etowah,2017,42894,40932,1962,4.6
1,57,AL,Fayette,2017,6529,6220,309,4.7
1,59,AL,Franklin,2017,13960,13369,591,4.2
1,61,AL,Geneva,2017,10817,10355,462,4.3
1,63,AL,Greene,2017,2833,2616,217,7.7
1,65,AL,Hale,2017,6007,5653,354,5.9
1,67,AL,Henry,2017,6697,6371,326,4.9
1,69,AL,Houston,2017,44411,42484,1927,4.3
1,71,AL,Jackson,2017,23066,21966,1100,4.8
1,73,AL,Jefferson,2017,309076,295970,13106,4.2
1,75,AL,Lamar,2017,5703,5462,241,4.2
1,77,AL,Lauderdale,2017,41868,39937,1931,4.6
1,79,AL,Lawrence,2017,13640,12974,666,4.9
1,81,AL,Lee,2017,73520,70643,2877,3.9
1,83,AL,Limestone,2017,41092,39457,1635,4
1,85,AL,Lowndes,2017,3750,3450,300,8
1,87,AL,Macon,2017,7892,7436,456,5.8
1,89,AL,Madison,2017,175153,168412,6741,3.8
1,91,AL,Marengo,2017,7623,7192,431,5.7
1,93,AL,Marion,2017,12517,11918,599,4.8
1,95,AL,Marshall,2017,42108,40506,1602,3.8
1,97,AL,Mobile,2017,186239,176587,9652,5.2
1,99,AL,Monroe,2017,7165,6682,483,6.7
1,101,AL,Montgomery,2017,105505,100964,4541,4.3
1,103,AL,Morgan,2017,54840,52588,2252,4.1
1,105,AL,Perry,2017,3402,3132,270,7.9
1,107,AL,Pickens,2017,7783,7371,412,5.3
1,109,AL,Pike,2017,15238,14495,743,4.9
1,111,AL,Randolph,2017,9373,8961,412,4.4
1,113,AL,Russell,2017,23457,22449,1008,4.3
1,115,AL,St. Clair,2017,38946,37400,1546,4
1,117,AL,Shelby,2017,109331,105804,3527,3.2
1,119,AL,Sumter,2017,5016,4688,328,6.5
1,121,AL,Talladega,2017,34501,32789,1712,5
1,123,AL,Tallapoosa,2017,18279,17519,760,4.2
1,125,AL,Tuscaloosa,2017,99237,95127,4110,4.1
1,127,AL,Walker,2017,25145,23883,1262,5
1,129,AL,Washington,2017,6656,6201,455,6.8
1,131,AL,Wilcox,2017,2808,2488,320,11.4
1,133,AL,Winston,2017,9646,9164,482,5
2,13,AK,Aleutians East,2017,2584,2519,65,2.5
2,16,AK,Aleutians West,2017,3861,3721,140,3.6
2,20,AK,Anchorage,2017,155462,146175,9287,6
2,50,AK,Bethel,2017,7445,6418,1027,13.8
2,60,AK,Bristol Bay,2017,426,399,27,6.3
2,68,AK,Denali,2017,1130,1024,106,9.4
2,70,AK,Dillingham,2017,2055,1864,191,9.3
2,90,AK,Fairbanks North Star,2017,46708,43768,2940,6.3
2,100,AK,Haines,2017,1089,990,99,9.1
2,105,AK,Hoonah-Angoon,2017,1140,996,144,12.6
2,110,AK,Juneau,2017,17435,16607,828,4.7
2,122,AK,Kenai Peninsula,2017,27095,24795,2300,8.5
2,130,AK,Ketchikan Gateway,2017,7104,6656,448,6.3
2,150,AK,Kodiak Island,2017,6447,6118,329,5.1
2,158,AK,Kusilvak,2017,2805,2242,563,20.1
2,164,AK,Lake and Peninsula,2017,723,637,86,11.9
2,170,AK,Matanuska-Susitna,2017,47397,43292,4105,8.7
2,180,AK,Nome,2017,4089,3575,514,12.6
2,185,AK,North Slope,2017,3670,3397,273,7.4
2,188,AK,Northwest Arctic,2017,2961,2463,498,16.8
2,195,AK,Petersburg,2017,1413,1281,132,9.3
2,198,AK,Prince of Wales-Hyder,2017,2836,2512,324,11.4
2,220,AK,Sitka,2017,4449,4241,208,4.7
2,230,AK,Skagway ,2017,824,737,87,10.6
2,240,AK,Southeast Fairbanks,2017,2969,2659,310,10.4
2,261,AK,Valdez-Cordova,2017,4898,4508,390,8
2,275,AK,Wrangell,2017,1050,969,81,7.7
2,282,AK,Yakutat,2017,235,213,22,9.4
2,290,AK,Yukon-Koyukuk,2017,2486,2032,454,18.3
4,1,AZ,Apache,2017,20419,18292,2127,10.4
4,3,AZ,Cochise,2017,49373,46602,2771,5.6
4,5,AZ,Coconino,2017,75381,71195,4186,5.6
4,7,AZ,Gila,2017,21362,20067,1295,6.1
4,9,AZ,Graham,2017,14423,13638,785,5.4
4,11,AZ,Greenlee,2017,3992,3788,204,5.1
4,12,AZ,La Paz,2017,8681,8214,467,5.4
4,13,AZ,Maricopa,2017,2134987,2045885,89102,4.2
4,15,AZ,Mohave,2017,82407,77579,4828,5.9
4,17,AZ,Navajo,2017,41337,38206,3131,7.6
4,19,AZ,Pima,2017,475622,454292,21330,4.5
4,21,AZ,Pinal,2017,168806,160333,8473,5
4,23,AZ,Santa Cruz,2017,19001,17194,1807,9.5
4,25,AZ,Yavapai,2017,101763,97180,4583,4.5
4,27,AZ,Yuma,2017,95167,78942,16225,17
5,1,AR,Arkansas,2017,9013,8719,294,3.3
5,3,AR,Ashley,2017,7695,7254,441,5.7
5,5,AR,Baxter,2017,16401,15707,694,4.2
5,7,AR,Benton,2017,132496,128647,3849,2.9
5,9,AR,Boone,2017,15821,15278,543,3.4
5,11,AR,Bradley,2017,4379,4174,205,4.7
5,13,AR,Calhoun,2017,2361,2268,93,3.9
5,15,AR,Carroll,2017,13097,12666,431,3.3
5,17,AR,Chicot,2017,3505,3276,229,6.5
5,19,AR,Clark,2017,9470,9093,377,4
5,21,AR,Clay,2017,5908,5639,269,4.6
5,23,AR,Cleburne,2017,9351,8893,458,4.9
5,25,AR,Cleveland,2017,3315,3170,145,4.4
5,27,AR,Columbia,2017,9115,8655,460,5
5,29,AR,Conway,2017,8281,7889,392,4.7
5,31,AR,Craighead,2017,53733,52132,1601,3
5,33,AR,Crawford,2017,26688,25743,945,3.5
5,35,AR,Crittenden,2017,21807,20871,936,4.3
5,37,AR,Cross,2017,7724,7417,307,4
5,39,AR,Dallas,2017,2881,2751,130,4.5
5,41,AR,Desha,2017,5453,5191,262,4.8
5,43,AR,Drew,2017,7846,7441,405,5.2
5,45,AR,Faulkner,2017,61288,59253,2035,3.3
5,47,AR,Franklin,2017,7439,7181,258,3.5
5,49,AR,Fulton,2017,4732,4533,199,4.2
5,51,AR,Garland,2017,40424,38805,1619,4
5,53,AR,Grant,2017,8371,8104,267,3.2
5,55,AR,Greene,2017,19805,19082,723,3.7
5,57,AR,Hempstead,2017,9897,9555,342,3.5
5,59,AR,Hot Spring,2017,14188,13665,523,3.7
5,61,AR,Howard,2017,5952,5771,181,3
5,63,AR,Independence,2017,16231,15546,685,4.2
5,65,AR,Izard,2017,4908,4640,268,5.5
5,67,AR,Jackson,2017,5916,5570,346,5.8
5,69,AR,Jefferson,2017,28059,26605,1454,5.2
5,71,AR,Johnson,2017,10640,10189,451,4.2
5,73,AR,Lafayette,2017,2521,2393,128,5.1
5,75,AR,Lawrence,2017,6918,6657,261,3.8
5,77,AR,Lee,2017,2976,2832,144,4.8
5,79,AR,Lincoln,2017,4036,3867,169,4.2
5,81,AR,Little River,2017,5591,5323,268,4.8
5,83,AR,Logan,2017,8947,8604,343,3.8
5,85,AR,Lonoke,2017,33887,32785,1102,3.3
5,87,AR,Madison,2017,7458,7249,209,2.8
5,89,AR,Marion,2017,6495,6239,256,3.9
5,91,AR,Miller,2017,19862,19006,856,4.3
5,93,AR,Mississippi,2017,17908,16845,1063,5.9
5,95,AR,Monroe,2017,2820,2700,120,4.3
5,97,AR,Montgomery,2017,3069,2921,148,4.8
5,99,AR,Nevada,2017,3615,3487,128,3.5
5,101,AR,Newton,2017,3380,3259,121,3.6
5,103,AR,Ouachita,2017,9795,9347,448,4.6
5,105,AR,Perry,2017,4202,4027,175,4.2
5,107,AR,Phillips,2017,6574,6192,382,5.8
5,109,AR,Pike,2017,4285,4111,174,4.1
5,111,AR,Poinsett,2017,10347,9921,426,4.1
5,113,AR,Polk,2017,8033,7672,361,4.5
5,115,AR,Pope,2017,29336,28044,1292,4.4
